year,Country,Season
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1904,US,Summer
1908,Africa,Summer
1908,Africa,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Rest of Europe,Summer
1908,Italy,Summer
1908,Italy,Summer
1908,Italy,Summer
1908,Italy,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
1908,US,Summer
